id,source,target,target_type,
70,Development Expense by Project,Product,1,
71,Market Launch Expense,Product,1,
72,Target Product Cost,Product,1,
73,Start Order Entry,Product,1,
74,12 Month Sales Forecast,Product,1,
75,Product Development Status,Product,1,
76,Market Launch Status,Product,1,
77,Project Financial Status,Product,1,
78,Project Operations Status,Product,1,
79,Project Market Opportunity,Product,1,
80,Project Value Proposition,Product,1,
81,Projected Annual Net Sales,Product,1,
82,Projected Gross Margin,Product,1,
83,Projected EVA,Product,1,
84,Projected 5 Year MVA Cumulative,Product,1,
85,Recommended Capital Investment by Project,Product,1,
86,Recommended Expense Investment by Project,Product,1,
87,Projected Year 1 Sales,Product,1,
88,Projected 5 Year Sales,Product,1,
89,Projected Total Investment,Product,1,
90,Projected Gross Margin,Product,1,
91,Projected 5 Year Operating Income,Product,1,
92,Projected 5 Year MVA Cumulative,Product,1,
93,Narrative of Project Design Principles,Product,1,
94,Narrative of Product Concept,Product,1,
95,Market Opportunity Analysis,Product,1,
96,Market Criteria,Product,1,
97,Market Launch Plan (which Showrooms),Product,1,
98,Resource Plan - Full Time Engineers Required,Product,1,
99,Narrative of Project Design/ Engineering Risks,Product,1,
100,Narrative of Project Marketing Risks,Product,1,
101,Narrative of Project Operations Risk,Product,1,
102,Narrative of Project Financial Risks,Product,1,
103,Total Sales by Product SKU,Product,1,
104,Total Sales by Data or Order,Product,1,
106,Part Number,Product,1,
107,Part Supplier,Product,1,
108,Narrative of Test Results / Observations,Product,1,
109,Narrative of Summary of Test Results,Product,1,
110,Tools Used for Test,Product,1,
111,Project Number,Product,1,
112,Project Name,Product,1,
113,Employee Creating Request,Product,1,
114,Employee Approving Request,Product,1,
115,Purpose of Test,Product,1,
116,Test Request Number,Product,1,
117,Test Status,Product,1,
118,BaaN Project Number,Product,1,
119,Baan Department,Product,1,
120,Project Number,Product,1,
121,Project Department,Product,1,
122,Test Classification,Product,1,
123,List of Products that Belong in Each Configuration,Product,1,
124,Pricing of Products in Each Configuration,Product,1,
130,Page accessed first after HermanMiller.com home page,Product,1,
132,Anticipated Launch Date for Product in Development,Product,1,
133,Status in HDP of Product,Product,1,
134,Projected Living Office Readiness,Product,1,
135,Dealer Living Office Readiness,Product,1,
146,List of Top Customers by MSA Region,Product,1,
147,Sales Quantity by Month by Manufacturing Cell,Product,1,
148,Top Potential Customers by MSA Region,Product,1,
149,Market Size by MSA Region by Year,Product,1,
150,Potential Sales by MSA Region by Year,Product,1,
151,Shipments by MSA Region by Year,Product,1,
152,Target Sales by MSA Region by Year,Product,1,
153,Target Sales by MSA Region by Segment by Year,Product,1,
154,Number of Employees at each Customer,Product,1,
155,Ranking of Each Customer Nationally,Product,1,
156,Potential Sales for Projected Per Customer,Product,1,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Product,1,
158,Dealer Discounting compared to average dealer discounting by MSA Region,Product,1,
159,Sales vs Plan by MSA Region,Product,1,
216,Price Points for Each Product Line,Product,1,
217,Suitability of Each Product Line to Each Setting,Product,1,
218,Suitability of Individual Products by Setting,Product,1,
219,Pricing for Product Line by Setting by Size,Product,1,
220,Gross Margin for Product Line by Setting by Size,Product,1,
221,Ranking of Seating Products to Each Work Setting,Product,1,
253,Dealer Code - Unique Identiifier,Product,1,
254,MSA Code - Unique Identifier,Product,1,
255,Region Code - Unique Identifier,Product,1,
256,Dealer Sales Volume,Product,1,
257,Dealer Potential Sales Volume,Product,1,
258,Dealer Sales Goal,Product,1,
259,Individual Assigned to MSA,Product,1,
260,Number of Dealers by MSA,Product,1,
261,Number of Dealers by Region,Product,1,
262,Forecast Sales by Region,Product,1,
263,Actual Sales by Region,Product,1,
264,Forecast Volume by Region,Product,1,
265,Actual Volume by Region,Product,1,
266,Projected Size of Anticipated Customer Wins,Product,1,
267,Notable Customer Wins,Product,1,
268,Notable Customer Losses,Product,1,
269,Global Accounts Sales Target,Product,1,
270,Global Accounts Actual Sales,Product,1,
271,Current Non-Dealer Opportunity - Owner Name,Product,1,
272,Current Non-Dealer Opportunity - Customer Name,Product,1,
273,Current Non-Dealer Opportunity - Region,Product,1,
274,Current Non-Dealer Opportunity - Stage,Product,1,
275,Current Non-Dealer Opportunity - Win Probability,Product,1,
276,Product Family Sales by Region,Product,1,
277,Product Family Planned Sales by Region,Product,1,
278,Product Family Margin by Region,Product,1,
279,Product Family Planned Margin by Region,Product,1,
280,Product Family Discounts by Region,Product,1,
281,Product Family Planned Discounts by Region,Product,1,
210,Ranking of Organization Structure,Place,1,
211,Ranking of Work Processes,Place,1,
212,Ranking of Work Location,Place,1,
213,Ranking of Interactions,Place,1,
214,Ranking of Individual Work,Place,1,
215,Ranking of Group Work,Place,1,
216,Price Points for Each Product Line,Place,1,
217,Suitability of Each Product Line to Each Setting,Place,1,
218,Suitability of Individual Products by Setting,Place,1,
219,Pricing for Product Line by Setting by Size,Place,1,
220,Gross Margin for Product Line by Setting by Size,Place,1,
221,Ranking of Seating Products to Each Work Setting,Place,1,
1,Records of Meetings Attended,Place,1,
2,Records of Emails Sent (Sender and Recipients),Place,1,
3,Records of Documents Shared (Author and Recipients),Place,1,
160,Requested Screen Resolution,Place,1,
161,Room Motion Sensor Activity,Place,1,
162,Laptop Plugged In to presentation system,Place,1,
163,Presentation system turned on,Place,1,
164,Meeting Logs - Rooms,Place,1,
165,Meeting Logs - People,Place,1,
166,Meeting Logs - Scheduler,Place,1,
167,Meeting Logs - Joined by Phone,Place,1,
168,Shared Documents,Place,1,
169,Email Logs,Place,1,
170,Documents Shared Externally,Place,1,
222,Square Feet Needed for Designed Configuration,Place,1,
223,Anticipated Landscape Types by Year to 2020,Place,1,
224,Anticipated Setting breakdown by Year to 2020,Place,1,
225,Spatial Recipe by Setting,Place,1,
226,Technology Needed For Setting,Place,1,
44,Customer Opportunity Products,Sales,2,
207,Historic Transactional Information,Sales,2,
208,Historic Sales by Sales Representative,Sales,2,
209,Historic Sales by Dealer,Sales,2,
227,Dealer Sales Goal Sales,Sales,2,
228,Dealer Projected Total Sales,Sales,2,
229,Dealer YTD Total Sales,Sales,2,
230,Budget for Dealer Projects,Sales,2,
231,Budget for Events Projects,Sales,2,
232,Budget for General Projects,Sales,2,
233,Budget for Markating Projects,Sales,2,
234,Budget for Sales Project,Sales,2,
235,Spend on Dealer Projects,Sales,2,
236,Spend on Events Projects,Sales,2,
237,Spend on General Projects,Sales,2,
238,Spend on Marketing Projects,Sales,2,
239,Spend on Sales Projects,Sales,2,
240,Spend on Sales Projects by Region,Sales,2,
241,Budget for Sales Projects by Region,Sales,2,
242,Sales by Year by Region,Sales,2,
243,Planned Sales by Year by Region,Sales,2,
244,Planned Market Share by Year by Region,Sales,2,
245,Actual Market Share by Year by Region,Sales,2,
246,Expected Market Share Growth by Year by Region,Sales,2,
247,Sales by Year by MSA,Sales,2,
248,Planned Sales by Year by MSA,Sales,2,
249,Planned Market Share by Year by MSA,Sales,2,
250,Actual Market Share by Year by MSA,Sales,2,
251,Expected Market Share Growth by Year by MSA,Sales,2,
252,Customer Satisfaction Survey,Sales,2,
282,Sales Per Year to End Customer,Sales,2,
40,Growth by MSA Region by Year,Sales,2,
41,Shipment Growth by MSA Region by Year,Sales,2,
103,Total Sales by Product SKU,Sales,2,
104,Total Sales by Data or Order,Sales,2,
146,List of Top Customers by MSA Region,Sales,2,
147,Sales Quantity by Month by Manufacturing Cell,Sales,2,
148,Top Potential Customers by MSA Region,Sales,2,
149,Market Size by MSA Region by Year,Sales,2,
150,Potential Sales by MSA Region by Year,Sales,2,
151,Shipments by MSA Region by Year,Sales,2,
152,Target Sales by MSA Region by Year,Sales,2,
153,Target Sales by MSA Region by Segment by Year,Sales,2,
154,Number of Employees at each Customer,Sales,2,
155,Ranking of Each Customer Nationally,Sales,2,
156,Potential Sales for Projected Per Customer,Sales,2,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Sales,2,
158,Dealer Discounting compared to average dealer discounting by MSA Region,Sales,2,
159,Sales vs Plan by MSA Region,Sales,2,
253,Dealer Code - Unique Identiifier,Sales,2,
254,MSA Code - Unique Identifier,Sales,2,
255,Region Code - Unique Identifier,Sales,2,
256,Dealer Sales Volume,Sales,2,
257,Dealer Potential Sales Volume,Sales,2,
258,Dealer Sales Goal,Sales,2,
259,Individual Assigned to MSA,Sales,2,
260,Number of Dealers by MSA,Sales,2,
261,Number of Dealers by Region,Sales,2,
262,Forecast Sales by Region,Sales,2,
263,Actual Sales by Region,Sales,2,
264,Forecast Volume by Region,Sales,2,
265,Actual Volume by Region,Sales,2,
266,Projected Size of Anticipated Customer Wins,Sales,2,
267,Notable Customer Wins,Sales,2,
268,Notable Customer Losses,Sales,2,
269,Global Accounts Sales Target,Sales,2,
270,Global Accounts Actual Sales,Sales,2,
271,Current Non-Dealer Opportunity - Owner Name,Sales,2,
272,Current Non-Dealer Opportunity - Customer Name,Sales,2,
273,Current Non-Dealer Opportunity - Region,Sales,2,
274,Current Non-Dealer Opportunity - Stage,Sales,2,
275,Current Non-Dealer Opportunity - Win Probability,Sales,2,
276,Product Family Sales by Region,Sales,2,
277,Product Family Planned Sales by Region,Sales,2,
278,Product Family Margin by Region,Sales,2,
279,Product Family Planned Margin by Region,Sales,2,
280,Product Family Discounts by Region,Sales,2,
281,Product Family Planned Discounts by Region,Sales,2,
172,Customer Name,Sales,2,
173,Customer ID,Sales,2,
174,Customer Address,Sales,2,
175,Customer Annual Revenue,Sales,2,
176,Customer Number of Employees,Sales,2,
177,Customer Opportunity ID,Sales,2,
178,Customer Opportunity Name,Sales,2,
179,Customer Opportunity Description,Sales,2,
180,Customer Opportunity Value,Sales,2,
181,Years HM has had relaitonship with customer,Sales,2,
182,Customer Sales Region,Sales,2,
183,Customer NAICs Code,Sales,2,
184,Customer Jigsaw company ID,Sales,2,
185,Customer Duns Company ID,Sales,2,
283,Job Title of Respondant,Research,2,
284,Region of Respondant,Research,2,
285,Company Size of Respondant,Research,2,
286,Aesthetic/Importance to Company of Respondant,Research,2,
287,Degree to Which Technology is Having an Impact on Respondant's Company,Research,2,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Research,2,
289,Top Drivers of Change for Workplace Portfolio at Respondant's Company,Research,2,
290,Percent of Workplace Reconfigured Annually at Respondant's Company,Research,2,
291,Where Respondant Obtains Workplace Ideas,Research,2,
292,Most Important Things in Creating Workplaces Three Years From Now,Research,2,
293,Tools Company Offers to Let Teams Collaborate Virtually,Research,2,
45,Projected Total Investment Required for Project,Research,2,
46,Projected Gross Margin for Project,Research,2,
47,Projected 10 Year MVA for Project,Research,2,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Research,2,
49,Project Problem Statement,Research,2,
50,Customer Needs met by Project,Research,2,
51,Strategic Needs Satisfied by Project,Research,2,
52,Project Positioning Statement,Research,2,
53,Project Key Market Based Product Criteria,Research,2,
54,Project Points of Differentiation,Research,2,
55,Project Vocabulary,Research,2,
56,Project Competitive Assessment,Research,2,
57,Project Competitive Cost Comparisons,Research,2,
58,Project Cost Target,Research,2,
59,Project Cost Estimate,Research,2,
60,Project Design Challenges,Research,2,
61,Project ID,Research,2,
62,Project Status - Project in Trouble,Research,2,
63,Project Status - Project Stage,Research,2,
64,Project Status - Next Gate for Project,Research,2,
65,Projected Budget for Month by Project,Research,2,
66,Actual Budget for Month by Project,Research,2,
67,Date of Next Milestone for Project,Research,2,
68,Projected 5 Year MVA Cumulative,Research,2,
69,Total Investment Needed by Project,Research,2,
70,Development Expense by Project,Research,2,
77,Project Financial Status,Research,2,
78,Project Operations Status,Research,2,
79,Project Market Opportunity,Research,2,
82,Projected Gross Margin,Research,2,
83,Projected EVA,Research,2,
84,Projected 5 Year MVA Cumulative,Research,2,
85,Recommended Capital Investment by Project,Research,2,
86,Recommended Expense Investment by Project,Research,2,
87,Projected Year 1 Sales,Research,2,
88,Projected 5 Year Sales,Research,2,
89,Projected Total Investment,Research,2,
90,Projected Gross Margin,Research,2,
91,Projected 5 Year Operating Income,Research,2,
92,Projected 5 Year MVA Cumulative,Research,2,
93,Narrative of Project Design Principles,Research,2,
94,Narrative of Product Concept,Research,2,
95,Market Opportunity Analysis,Research,2,
98,Resource Plan - Full Time Engineers Required,Research,2,
99,Narrative of Project Design/ Engineering Risks,Research,2,
101,Narrative of Project Operations Risk,Research,2,
102,Narrative of Project Financial Risks,Research,2,
186,Names of Teams Engaged in Project Design Process,Research,2,
187,Capacity - Total Headcount Needed for Current Project,Research,2,
188,Capacity - Total Headcount Available,Research,2,
210,Ranking of Organization Structure,Performance Environments,2,
211,Ranking of Work Processes,Performance Environments,2,
212,Ranking of Work Location,Performance Environments,2,
213,Ranking of Interactions,Performance Environments,2,
214,Ranking of Individual Work,Performance Environments,2,
215,Ranking of Group Work,Performance Environments,2,
38,Performance Environments - Chair Occupancy,Performance Environments,2,
145,Performance Environments - Room Occupancy,Performance Environments,2,
216,Price Points for Each Product Line,Marketing,2,
217,Suitability of Each Product Line to Each Setting,Marketing,2,
218,Suitability of Individual Products by Setting,Marketing,2,
219,Pricing for Product Line by Setting by Size,Marketing,2,
220,Gross Margin for Product Line by Setting by Size,Marketing,2,
221,Ranking of Seating Products to Each Work Setting,Marketing,2,
222,Square Feet Needed for Designed Configuration,Marketing,2,
223,Anticipated Landscape Types by Year to 2020,Marketing,2,
224,Anticipated Setting breakdown by Year to 2020,Marketing,2,
225,Spatial Recipe by Setting,Marketing,2,
226,Technology Needed For Setting,Marketing,2,
5,HermanMiller.com Page Views by Product,Marketing,2,
6,Number of Views for each Web Asset on HermanMiller.com by Associated Product,Marketing,2,
7,Top Web Assets Downloaded from HermanMiller.com by Category,Marketing,2,
8,Top Brochures Shipped by Product,Marketing,2,
9,Top Brochures Shipped - Workstations,Marketing,2,
10,Top Brochures Shipped - Storage,Marketing,2,
11,Sales - Gross,Marketing,2,
12,Sales - % Change,Marketing,2,
13,Margin - Gross,Marketing,2,
14,Margin - % Change,Marketing,2,
15,Direct Opex - Gross,Marketing,2,
16,Direct Opex - % Change,Marketing,2,
17,Direct Op Income - Gross,Marketing,2,
18,Direct Op Income - % Change,Marketing,2,
19,Spend on Warranty - Gross,Marketing,2,
20,Spend on Warranty - % Change,Marketing,2,
21,Royalty - Gross,Marketing,2,
22,Royalty - % Change,Marketing,2,
23,Direct Op Income - Gross,Marketing,2,
24,Direct Op Income - % Change,Marketing,2,
25,Strategic Objective - Intuitive Adaptation,Marketing,2,
26,Strategic Objective - Ultimate Settings,Marketing,2,
27,Strategic Objective - Exceptional Accessories,Marketing,2,
28,Strategic Objective - Living Office Workplace Expertise,Marketing,2,
29,Projected Year 4 Sales for Product in Development,Marketing,2,
30,Level of Innovation for Product in Development,Marketing,2,
31,Anticipated Buzz Level of Product in Development,Marketing,2,
32,Name of Product in Developent,Marketing,2,
37,Total Number of Online Sales,Marketing,2,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Marketing,2,
71,Market Launch Expense,Marketing,2,
73,Start Order Entry,Marketing,2,
74,12 Month Sales Forecast,Marketing,2,
76,Market Launch Status,Marketing,2,
80,Project Value Proposition,Marketing,2,
81,Projected Annual Net Sales,Marketing,2,
96,Market Criteria,Marketing,2,
97,Market Launch Plan (which Showrooms),Marketing,2,
100,Narrative of Project Marketing Risks,Marketing,2,
130,Page accessed first after HermanMiller.com home page,Marketing,2,
132,Anticipated Launch Date for Product in Development,Marketing,2,
134,Projected Living Office Readiness,Marketing,2,
135,Dealer Living Office Readiness,Marketing,2,
4,Most Searched Words on HermanMiller.com,Marketing,2,
125,Paid Search Criteria – Google Ad Words,Marketing,2,
126,HermanMiller.com Page Views,Marketing,2,
127,HermanMiller.com Page Views,Marketing,2,
128,Device Used to Access HermanMiller.com,Marketing,2,
129,% New Users Accessing HermanMiller.com,Marketing,2,
131,Number of iPad App Portal Downloads,Marketing,2,
136,% Respondents Able to Complete Tasks Online,Marketing,2,
137,Website User Satisfaction,Marketing,2,
138,Website Uptime,Marketing,2,
139,Customer Personas,Marketing,2,
140,Brand Awareness by Consumer Segments,Marketing,2,
141,Brand Sentiment by Consumer Segments,Marketing,2,
142,Online Generated Leads,Marketing,2,
143,Self Service Usage,Marketing,2,
144,Total Number of Online Accounts,Marketing,2,
171,Website Satisfaction - HermanMiller.com,Marketing,2,
189,Nielsen Segment Analysis,Marketing,2,
190,Website Traffic Composition by State by page on site,Marketing,2,
191,Website Traffic Gender Composition by Page,Marketing,2,
192,Website Traffic Age Composition by Page,Marketing,2,
193,Website Traffic by Income by Page,Marketing,2,
194,Website Traffic by Net Worth by Page,Marketing,2,
195,Website Traffic by Career Status by Page,Marketing,2,
196,Website Traffic Top 5 Occupations by Page,Marketing,2,
197,Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Marketing,2,
198,Website Traffic Length of Residence at Current address by Page,Marketing,2,
199,Website Traffic Top 5 Auto Make by Page,Marketing,2,
200,Website Traffic Top 4 Psychographies by Page,Marketing,2,
201,Count of File Formats for Downloaded Product Brochures,Marketing,2,
202,Average Product Downloads per User,Marketing,2,
203,Pageviews by Setting,Marketing,2,
204,Number of Page Views by City,Marketing,2,
205,Number of Users by City,Marketing,2,
206,Work Products by Pricepoint,Marketing,2,
1,Records of Meetings Attended,IT,2,
2,Records of Emails Sent (Sender and Recipients),IT,2,
3,Records of Documents Shared (Author and Recipients),IT,2,
160,Requested Screen Resolution,IT,2,
161,Room Motion Sensor Activity,IT,2,
162,Laptop Plugged In to presentation system,IT,2,
163,Presentation system turned on,IT,2,
164,Meeting Logs - Rooms,IT,2,
165,Meeting Logs - People,IT,2,
166,Meeting Logs - Scheduler,IT,2,
167,Meeting Logs - Joined by Phone,IT,2,
168,Shared Documents,IT,2,
169,Email Logs,IT,2,
170,Documents Shared Externally,IT,2,
33,Number of Engineers Assigned to Each Product,Design/Development,2,
34,Status of Each Task in Development Project,Design/Development,2,
35,Core Issues and Resolutions for Each Product,Design/Development,2,
36,Revenue Plan by Product,Design/Development,2,
42,CAD Drawings,Design/Development,2,
43,Lessons Learned in Development Process,Design/Development,2,
123,List of Products that Belong in Each Configuration,Design/Development,2,
