source,target,value,,,,
Nielsen Segment Analysis,Customer Segment,1,,,,
Website Traffic Gender Composition by Page,Customer Segment,1,,,,
Website Traffic Age Composition by Page,Customer Segment,1,,,,
Website Traffic by Income by Page,Customer Segment,1,,,,
Website Traffic by Net Worth by Page,Customer Segment,1,,,,
Website Traffic by Career Status by Page,Customer Segment,1,,,,
Website Traffic Top 5 Occupations by Page,Customer Segment,1,,,,
Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Customer Segment,1,,,,
Website Traffic Length of Residence at Current address by Page,Customer Segment,1,,,,
Website Traffic Top 5 Auto Make by Page,Customer Segment,1,,,,
Website Traffic Top 4 Psychographies by Page,Customer Segment,1,,,,
Total Number of Online Sales,Customer Segment,1,,,,
Customer Personas,Customer Segment,1,,,,
Brand Awareness by Consumer Segments,Customer Segment,1,,,,
Brand Sentiment by Consumer Segments,Customer Segment,1,,,,
Online Generated Leads,Customer Segment,1,,,,
Customer Sales Region,Customer Segment,1,,,,
Market Opportunity Analysis,Customer Segment,1,,,,
Market Launch Plan (which Showrooms),Customer Segment,1,,,,
Website User Satisfaction,Customer Segment,1,,,,
Job Title of Respondant,Customer Segment,1,,,,
Region of Respondant,Customer Segment,1,,,,
Company Size of Respondant,Customer Segment,1,,,,
Aesthetic/Importance to Company of Respondant,Customer Segment,1,,,,
Degree to Which Technology is Having an Impact on Respondant's Company,Customer Segment,1,,,,
Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Customer Segment,1,,,,
Top Drivers of Change for Workplace Portfolio at Respondant's Company,Customer Segment,1,,,,
Percent of Workplace Reconfigured Annually at Respondant's Company,Customer Segment,1,,,,
Where Respondant Obtains Workplace Ideas,Customer Segment,1,,,,
Most Important Things in Creating Workplaces Three Years From Now,Customer Segment,1,,,,
Tools Company Offers to Let Teams Collaborate Virtually,Customer Segment,1,,,,
Project Key Market Based Product Criteria,Customer Segment,1,,,,
Ranking of Each Customer Nationally,Customer Segment,1,,,,
Product Margin of Dealer Compared to Average Dealer by MSA Region,Dealer,1,,,,
Dealer Discounting compared to average dealer discounting by MSA Region,Dealer,1,,,,
Historic Sales by Sales Representative,Dealer,1,,,,
Historic Sales by Dealer,Dealer,1,,,,
Dealer Sales Goal Sales,Dealer,1,,,,
Dealer Projected Total Sales,Dealer,1,,,,
Dealer YTD Total Sales,Dealer,1,,,,
Historic Transactional Information,Dealer,1,,,,
Customer Satisfaction Survey,Dealer,1,,,,
Dealer Code - Unique Identiifier,Dealer,1,,,,
Dealer Sales Volume,Dealer,1,,,,
Dealer Potential Sales Volume,Dealer,1,,,,
Dealer Sales Goal,Dealer,1,,,,
Meeting Logs - Joined by Phone,Employee,1,,,,
Shared Documents,Employee,1,,,,
Capacity - Total Headcount Needed for Current Project,Employee,1,,,,
Capacity - Total Headcount Available,Employee,1,,,,
Project Design Challenges,Employee,1,,,,
Project Status - Project in Trouble,Employee,1,,,,
Project Status - Project Stage,Employee,1,,,,
Number of Employees at each Customer,Employee,1,,,,
Ranking of Each Customer Nationally,Employee,1,,,,
Meeting Logs - People,Employee,1,,,,
Meeting Logs - Scheduler,Employee,1,,,,
Email Logs,Employee,1,,,,
Documents Shared Externally,Employee,1,,,,
Customer Number of Employees,Employee,1,,,,
Names of Teams Engaged in Project Design Process,Employee,1,,,,
Number of Engineers Assigned to Each Product,Employee,1,,,,
Status of Each Task in Development Project,Employee,1,,,,
Core Issues and Resolutions for Each Product,Employee,1,,,,
Individual Assigned to MSA,Employee,1,,,,
Current Non-Dealer Opportunity - Owner Name,Employee,1,,,,
Current Non-Dealer Opportunity - Customer Name,Employee,1,,,,
Current Non-Dealer Opportunity - Region,Employee,1,,,,
Current Non-Dealer Opportunity - Stage,Employee,1,,,,
Current Non-Dealer Opportunity - Win Probability,Employee,1,,,,
Sales by Year by MSA,MSA,1,,,,
Planned Sales by Year by MSA,MSA,1,,,,
Planned Market Share by Year by MSA,MSA,1,,,,
Actual Market Share by Year by MSA,MSA,1,,,,
Expected Market Share Growth by Year by MSA,MSA,1,,,,
MSA Code - Unique Identifier,MSA,1,,,,
Individual Assigned to MSA,MSA,1,,,,
Number of Dealers by MSA,MSA,1,,,,
Strategic Objective - Intuitive Adaptation,Product,1,,,,
Strategic Objective - Ultimate Settings,Product,1,,,,
Strategic Objective - Exceptional Accessories,Product,1,,,,
Strategic Objective - Living Office Workplace Expertise,Product,1,,,,
Projected Year 4 Sales for Product in Development,Product,1,,,,
Level of Innovation for Product in Development,Product,1,,,,
Anticipated Buzz Level of Product in Development,Product,1,,,,
Name of Product in Developent,Product,1,,,,
Number of Engineers Assigned to Each Product,Product,1,,,,
Status of Each Task in Development Project,Product,1,,,,
Core Issues and Resolutions for Each Product,Product,1,,,,
Revenue Plan by Product,Product,1,,,,
Shipment Growth by MSA Region by Year,Product,1,,,,
CAD Drawings,Product,1,,,,
Lessons Learned in Development Process,Product,1,,,,
Customer Needs met by Project,Product,1,,,,
Strategic Needs Satisfied by Project,Product,1,,,,
Project Positioning Statement,Product,1,,,,
Project Key Market Based Product Criteria,Product,1,,,,
Project Points of Differentiation,Product,1,,,,
Project Vocabulary,Product,1,,,,
Project Competitive Assessment,Product,1,,,,
Project Competitive Cost Comparisons,Product,1,,,,
Project Cost Target,Product,1,,,,
Project Cost Estimate,Product,1,,,,
Project Design Challenges,Product,1,,,,
Project ID,Product,1,,,,
Project Status - Project in Trouble,Product,1,,,,
Project Status - Project Stage,Product,1,,,,
Project Status - Next Gate for Project,Product,1,,,,
Projected Budget for Month by Project,Product,1,,,,
Actual Budget for Month by Project,Product,1,,,,
Date of Next Milestone for Project,Product,1,,,,
Projected 5 Year MVA Cumulative,Product,1,,,,
Total Investment Needed by Project,Product,1,,,,
Development Expense by Project,Product,1,,,,
Market Launch Expense,Product,1,,,,
Target Product Cost,Product,1,,,,
Start Order Entry,Product,1,,,,
12 Month Sales Forecast,Product,1,,,,
Product Development Status,Product,1,,,,
Market Launch Status,Product,1,,,,
Project Financial Status,Product,1,,,,
Project Operations Status,Product,1,,,,
Project Market Opportunity,Product,1,,,,
Project Value Proposition,Product,1,,,,
Projected Annual Net Sales,Product,1,,,,
Projected Gross Margin,Product,1,,,,
Projected EVA,Product,1,,,,
Projected 5 Year MVA Cumulative,Product,1,,,,
Recommended Capital Investment by Project,Product,1,,,,
Recommended Expense Investment by Project,Product,1,,,,
Projected Year 1 Sales,Product,1,,,,
Projected 5 Year Sales,Product,1,,,,
Projected Total Investment,Product,1,,,,
Projected Gross Margin,Product,1,,,,
Projected 5 Year Operating Income,Product,1,,,,
Projected 5 Year MVA Cumulative,Product,1,,,,
Narrative of Project Design Principles,Product,1,,,,
Narrative of Product Concept,Product,1,,,,
Market Opportunity Analysis,Product,1,,,,
Market Criteria,Product,1,,,,
Market Launch Plan (which Showrooms),Product,1,,,,
Resource Plan - Full Time Engineers Required,Product,1,,,,
Narrative of Project Design/ Engineering Risks,Product,1,,,,
Narrative of Project Marketing Risks,Product,1,,,,
Narrative of Project Operations Risk,Product,1,,,,
Narrative of Project Financial Risks,Product,1,,,,
Total Sales by Product SKU,Product,1,,,,
Total Sales by Data or Order,Product,1,,,,
Customization Requests by Product Category,Product,1,,,,
Part Number,Product,1,,,,
Part Supplier,Product,1,,,,
Narrative of Test Results / Observations,Product,1,,,,
Narrative of Summary of Test Results,Product,1,,,,
Tools Used for Test,Product,1,,,,
Project Number,Product,1,,,,
Project Name,Product,1,,,,
Employee Creating Request,Product,1,,,,
Employee Approving Request,Product,1,,,,
Purpose of Test,Product,1,,,,
Test Request Number,Product,1,,,,
Test Status,Product,1,,,,
BaaN Project Number,Product,1,,,,
Baan Department,Product,1,,,,
Project Number,Product,1,,,,
Project Department,Product,1,,,,
Test Classification,Product,1,,,,
List of Products that Belong in Each Configuration,Product,1,,,,
Pricing of Products in Each Configuration,Product,1,,,,
Anticipated Launch Date for Product in Development,Product,1,,,,
Status in HDP of Product,Product,1,,,,
Projected Living Office Readiness,Product,1,,,,
Dealer Living Office Readiness,Product,1,,,,
% Respondents Able to Complete Tasks Online,Product,1,,,,
Website User Satisfaction,Product,1,,,,
Website Uptime,Product,1,,,,
Online Generated Leads,Product,1,,,,
Sales Quantity by Month by Manufacturing Cell,Product,1,,,,
Target Sales by MSA Region by Year,Product,1,,,,
Target Sales by MSA Region by Segment by Year,Product,1,,,,
Requested Screen Resolution,Product,1,,,,
Names of Teams Engaged in Project Design Process,Product,1,,,,
Work Products by Pricepoint,Product,1,,,,
Historic Transactional Information,Product,1,,,,
Price Points for Each Product Line,Product,1,,,,
Suitability of Each Product Line to Each Setting,Product,1,,,,
Suitability of Individual Products by Setting,Product,1,,,,
Ranking of Seating Products to Each Work Setting,Product,1,,,,
Anticipated Landscape Types by Year to 2020,Product,1,,,,
Anticipated Setting breakdown by Year to 2020,Product,1,,,,
Spatial Recipe by Setting,Product,1,,,,
Most Searched Words on HermanMiller.com,Product,1,,,,
HermanMiller.com Page Views by Product,Product,1,,,,
Number of Views for each Web Asset on HermanMiller.com by Associated Product,Product,1,,,,
Top Brochures Shipped by Product,Product,1,,,,
Sales - Gross,Product,1,,,,
Sales - % Change,Product,1,,,,
Margin - Gross,Product,1,,,,
Margin - % Change,Product,1,,,,
Direct Opex - Gross,Product,1,,,,
Direct Opex - % Change,Product,1,,,,
Direct Op Income - Gross,Product,1,,,,
Direct Op Income - % Change,Product,1,,,,
Spend on Warranty - Gross,Product,1,,,,
Spend on Warranty - % Change,Product,1,,,,
Royalty - Gross,Product,1,,,,
Royalty - % Change,Product,1,,,,
Direct Op Income - Gross,Product,1,,,,
Direct Op Income - % Change,Product,1,,,,
Product Adjacencies - Seating Idea Starters by Living Office Setting,Product,1,,,,
Customer Opportunity Products,Product,1,,,,
Projected Total Investment Required for Project,Product,1,,,,
Projected Gross Margin for Project,Product,1,,,,
Projected 10 Year MVA for Project,Product,1,,,,
Projected Total Sales Impact (5 Year Cumulative) for Project,Product,1,,,,
Project Problem Statement,Product,1,,,,
Paid Search Criteria – Google Ad Words,Product,1,,,,
Page accessed first after HermanMiller.com home page,Product,1,,,,
Self Service Usage,Product,1,,,,
Dealer Discounting compared to average dealer discounting by MSA Region,Product,1,,,,
Customer Opportunity Value,Product,1,,,,
Gross Margin for Product Line by Setting by Size,Product,1,,,,
Product Margin of Dealer Compared to Average Dealer by MSA Region,Product,1,,,,
Sales vs Plan by MSA Region,Product,1,,,,
Total Number of Online Sales,Product,1,,,,
Performance Environments - Chair Occupancy,Product,1,,,,
Growth by MSA Region by Year,Product,1,,,,
Brand Awareness by Consumer Segments,Product,1,,,,
Brand Sentiment by Consumer Segments,Product,1,,,,
Total Number of Online Accounts,Product,1,,,,
Performance Environments - Room Occupancy,Product,1,,,,
Potential Sales by MSA Region by Year,Product,1,,,,
Shipments by MSA Region by Year,Product,1,,,,
Online Generated Leads,Product Category,1,,,,
HermanMiller.com Page Views,Product Family,1,,,,
HermanMiller.com Page Views,Product Family,1,,,,
Work Products by Pricepoint,Product Family,1,,,,
Product Family Sales by Region,Product Family,1,,,,
Product Family Planned Sales by Region,Product Family,1,,,,
Product Family Margin by Region,Product Family,1,,,,
Product Family Planned Margin by Region,Product Family,1,,,,
Product Family Discounts by Region,Product Family,1,,,,
Product Family Planned Discounts by Region,Product Family,1,,,,
Online Generated Leads,Product Family,1,,,,
Average Product Downloads per User,Product Line,1,,,,
Pageviews by Setting,Product Line,1,,,,
Pricing for Product Line by Setting by Size,Product Line,1,,,,
Gross Margin for Product Line by Setting by Size,Product Line,1,,,,
Square Feet Needed for Designed Configuration,Product Line,1,,,,
Technology Needed For Setting,Product Line,1,,,,
Top Web Assets Downloaded from HermanMiller.com by Category,Product Line,1,,,,
Top Brochures Shipped - Workstations,Product Line,1,,,,
Top Brochures Shipped - Storage,Product Line,1,,,,
Customization Requests by Product Category,Product Line,1,,,,
Suitability of Each Product Line to Each Setting,Product Line,1,,,,
Anticipated Landscape Types by Year to 2020,Product Line,1,,,,
Anticipated Setting breakdown by Year to 2020,Product Line,1,,,,
Name of Product in Developent,Product Line,1,,,,
Most Searched Words on HermanMiller.com,Product Line,1,,,,
Sales - Gross,Product Line,1,,,,
Sales - % Change,Product Line,1,,,,
Margin - Gross,Product Line,1,,,,
Margin - % Change,Product Line,1,,,,
Direct Opex - Gross,Product Line,1,,,,
Direct Opex - % Change,Product Line,1,,,,
Direct Op Income - Gross,Product Line,1,,,,
Direct Op Income - % Change,Product Line,1,,,,
Spend on Warranty - Gross,Product Line,1,,,,
Spend on Warranty - % Change,Product Line,1,,,,
Royalty - Gross,Product Line,1,,,,
Royalty - % Change,Product Line,1,,,,
Direct Op Income - Gross,Product Line,1,,,,
Direct Op Income - % Change,Product Line,1,,,,
Projected Year 4 Sales for Product in Development,Product Line,1,,,,
Level of Innovation for Product in Development,Product Line,1,,,,
Anticipated Buzz Level of Product in Development,Product Line,1,,,,
Revenue Plan by Product,Product Line,1,,,,
Paid Search Criteria – Google Ad Words,Product Line,1,,,,
Page accessed first after HermanMiller.com home page,Product Line,1,,,,
Anticipated Launch Date for Product in Development,Product Line,1,,,,
Status in HDP of Product,Product Line,1,,,,
Projected Living Office Readiness,Product Line,1,,,,
Dealer Living Office Readiness,Product Line,1,,,,
Name of Product in Developent,Product Type,1,,,,
Ranking of Seating Products to Each Work Setting,Product Type,1,,,,
Spatial Recipe by Setting,Product Type,1,,,,
Most Searched Words on HermanMiller.com,Product Type,1,,,,
Sales - Gross,Product Type,1,,,,
Sales - % Change,Product Type,1,,,,
Margin - Gross,Product Type,1,,,,
Margin - % Change,Product Type,1,,,,
Direct Opex - Gross,Product Type,1,,,,
Direct Opex - % Change,Product Type,1,,,,
Direct Op Income - Gross,Product Type,1,,,,
Direct Op Income - % Change,Product Type,1,,,,
Spend on Warranty - Gross,Product Type,1,,,,
Spend on Warranty - % Change,Product Type,1,,,,
Royalty - Gross,Product Type,1,,,,
Royalty - % Change,Product Type,1,,,,
Direct Op Income - Gross,Product Type,1,,,,
Direct Op Income - % Change,Product Type,1,,,,
Projected Year 4 Sales for Product in Development,Product Type,1,,,,
Level of Innovation for Product in Development,Product Type,1,,,,
Anticipated Buzz Level of Product in Development,Product Type,1,,,,
Revenue Plan by Product,Product Type,1,,,,
Performance Environments - Chair Occupancy,Product Type,1,,,,
Paid Search Criteria – Google Ad Words,Product Type,1,,,,
Page accessed first after HermanMiller.com home page,Product Type,1,,,,
Anticipated Launch Date for Product in Development,Product Type,1,,,,
Status in HDP of Product,Product Type,1,,,,
Projected Living Office Readiness,Product Type,1,,,,
Dealer Living Office Readiness,Product Type,1,,,,
Performance Environments - Room Occupancy,Product Type,1,,,,
Website Traffic Composition by State by page on site,Region,1,,,,
Growth by MSA Region by Year,Region,1,,,,
Shipment Growth by MSA Region by Year,Region,1,,,,
Total Number of Online Accounts,Region,1,,,,
List of Top Customers by MSA Region,Region,1,,,,
Top Potential Customers by MSA Region,Region,1,,,,
Market Size by MSA Region by Year,Region,1,,,,
Potential Sales by MSA Region by Year,Region,1,,,,
Shipments by MSA Region by Year,Region,1,,,,
Target Sales by MSA Region by Year,Region,1,,,,
Target Sales by MSA Region by Segment by Year,Region,1,,,,
Sales vs Plan by MSA Region,Region,1,,,,
Customer Address,Region,1,,,,
Spend on Sales Projects by Region,Region,1,,,,
Budget for Sales Projects by Region,Region,1,,,,
Sales by Year by Region,Region,1,,,,
Planned Sales by Year by Region,Region,1,,,,
Planned Market Share by Year by Region,Region,1,,,,
Actual Market Share by Year by Region,Region,1,,,,
Expected Market Share Growth by Year by Region,Region,1,,,,
Region Code - Unique Identifier,Region,1,,,,
Number of Dealers by Region,Region,1,,,,
Forecast Sales by Region,Region,1,,,,
Actual Sales by Region,Region,1,,,,
Forecast Volume by Region,Region,1,,,,
Actual Volume by Region,Region,1,,,,
Projected Size of Anticipated Customer Wins,Region,1,,,,
Notable Customer Wins,Region,1,,,,
Notable Customer Losses,Region,1,,,,
Current Non-Dealer Opportunity - Owner Name,Region,1,,,,
Current Non-Dealer Opportunity - Customer Name,Region,1,,,,
Current Non-Dealer Opportunity - Region,Region,1,,,,
Current Non-Dealer Opportunity - Stage,Region,1,,,,
Current Non-Dealer Opportunity - Win Probability,Region,1,,,,
Sales Per Year to End Customer,Region,1,,,,
Job Title of Respondant,Region,1,,,,
Region of Respondant,Region,1,,,,
Company Size of Respondant,Region,1,,,,
Aesthetic/Importance to Company of Respondant,Region,1,,,,
Degree to Which Technology is Having an Impact on Respondant's Company,Region,1,,,,
Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Region,1,,,,
Top Drivers of Change for Workplace Portfolio at Respondant's Company,Region,1,,,,
Percent of Workplace Reconfigured Annually at Respondant's Company,Region,1,,,,
Where Respondant Obtains Workplace Ideas,Region,1,,,,
Most Important Things in Creating Workplaces Three Years From Now,Region,1,,,,
Tools Company Offers to Let Teams Collaborate Virtually,Region,1,,,,
Total Number of Online Sales,Region,1,,,,
Project Key Market Based Product Criteria,Region,1,,,,
Customer Personas,Region,1,,,,
Brand Awareness by Consumer Segments,Region,1,,,,
Brand Sentiment by Consumer Segments,Region,1,,,,
Ranking of Each Customer Nationally,Region,1,,,,
Potential Sales for Projected Per Customer,Region,1,,,,
Customer Sales Region,Region,1,,,,
Product Family Sales by Region,Region,1,,,,
Product Family Planned Sales by Region,Region,1,,,,
Product Family Margin by Region,Region,1,,,,
Product Family Planned Margin by Region,Region,1,,,,
Product Family Discounts by Region,Region,1,,,,
Product Family Planned Discounts by Region,Region,1,,,,
Market Opportunity Analysis,Region,1,,,,
Market Launch Plan (which Showrooms),Region,1,,,,
Website User Satisfaction,Region,1,,,,
Historic Sales by Sales Representative,Sales Representative,1,,,,
Most Searched Words on HermanMiller.com,Time,1,,,,
HermanMiller.com Page Views by Product,Time,1,,,,
Number of Views for each Web Asset on HermanMiller.com by Associated Product,Time,1,,,,
Top Web Assets Downloaded from HermanMiller.com by Category,Time,1,,,,
Top Brochures Shipped by Product,Time,1,,,,
Top Brochures Shipped - Workstations,Time,1,,,,
Top Brochures Shipped - Storage,Time,1,,,,
Sales - Gross,Time,1,,,,
Sales - % Change,Time,1,,,,
Margin - Gross,Time,1,,,,
Margin - % Change,Time,1,,,,
Direct Opex - Gross,Time,1,,,,
Direct Opex - % Change,Time,1,,,,
Direct Op Income - Gross,Time,1,,,,
Direct Op Income - % Change,Time,1,,,,
Spend on Warranty - Gross,Time,1,,,,
Spend on Warranty - % Change,Time,1,,,,
Royalty - Gross,Time,1,,,,
Royalty - % Change,Time,1,,,,
Direct Op Income - Gross,Time,1,,,,
Direct Op Income - % Change,Time,1,,,,
Performance Environments - Chair Occupancy,Time,1,,,,
Projected Total Investment Required for Project,Time,1,,,,
Projected Gross Margin for Project,Time,1,,,,
Projected 10 Year MVA for Project,Time,1,,,,
Projected Total Sales Impact (5 Year Cumulative) for Project,Time,1,,,,
Project Problem Statement,Time,1,,,,
Paid Search Criteria – Google Ad Words,Time,1,,,,
HermanMiller.com Page Views,Time,1,,,,
HermanMiller.com Page Views,Time,1,,,,
Device Used to Access HermanMiller.com,Time,1,,,,
% New Users Accessing HermanMiller.com,Time,1,,,,
Page accessed first after HermanMiller.com home page,Time,1,,,,
Number of iPad App Portal Downloads,Time,1,,,,
Performance Environments - Room Occupancy,Time,1,,,,
Sales vs Plan by MSA Region,Time,1,,,,
Room Motion Sensor Activity,Time,1,,,,
Laptop Plugged In to presentation system,Time,1,,,,
Presentation system turned on,Time,1,,,,
Meeting Logs - Rooms,Time,1,,,,
Meeting Logs - People,Time,1,,,,
Meeting Logs - Scheduler,Time,1,,,,
Email Logs,Time,1,,,,
Documents Shared Externally,Time,1,,,,
Count of File Formats for Downloaded Product Brochures,Time,1,,,,
Number of Page Views by City,Time,1,,,,
Number of Users by City,Time,1,,,,
Budget for Dealer Projects,Time,1,,,,
Budget for Events Projects,Time,1,,,,
Budget for General Projects,Time,1,,,,
Budget for Markating Projects,Time,1,,,,
Budget for Sales Project,Time,1,,,,
Spend on Dealer Projects,Time,1,,,,
Spend on Events Projects,Time,1,,,,
Spend on General Projects,Time,1,,,,
Spend on Marketing Projects,Time,1,,,,
Spend on Sales Projects,Time,1,,,,
Spend on Sales Projects by Region,Time,1,,,,
Budget for Sales Projects by Region,Time,1,,,,
Sales by Year by Region,Time,1,,,,
Planned Sales by Year by Region,Time,1,,,,
Planned Market Share by Year by Region,Time,1,,,,
Actual Market Share by Year by Region,Time,1,,,,
Expected Market Share Growth by Year by Region,Time,1,,,,
Sales by Year by MSA,Time,1,,,,
Planned Sales by Year by MSA,Time,1,,,,
Planned Market Share by Year by MSA,Time,1,,,,
Actual Market Share by Year by MSA,Time,1,,,,
Expected Market Share Growth by Year by MSA,Time,1,,,,
Customer Satisfaction Survey,Time,1,,,,
Dealer Code - Unique Identiifier,Time,1,,,,
MSA Code - Unique Identifier,Time,1,,,,
Region Code - Unique Identifier,Time,1,,,,
Dealer Sales Volume,Time,1,,,,
Dealer Potential Sales Volume,Time,1,,,,
Dealer Sales Goal,Time,1,,,,
Individual Assigned to MSA,Time,1,,,,
Number of Dealers by MSA,Time,1,,,,
Number of Dealers by Region,Time,1,,,,
Forecast Sales by Region,Time,1,,,,
Actual Sales by Region,Time,1,,,,
Forecast Volume by Region,Time,1,,,,
Actual Volume by Region,Time,1,,,,
Projected Size of Anticipated Customer Wins,Time,1,,,,
Notable Customer Wins,Time,1,,,,
Notable Customer Losses,Time,1,,,,
Global Accounts Sales Target,Time,1,,,,
Global Accounts Actual Sales,Time,1,,,,
Current Non-Dealer Opportunity - Owner Name,Time,1,,,,
Current Non-Dealer Opportunity - Customer Name,Time,1,,,,
Current Non-Dealer Opportunity - Region,Time,1,,,,
Current Non-Dealer Opportunity - Stage,Time,1,,,,
Current Non-Dealer Opportunity - Win Probability,Time,1,,,,
Product Family Sales by Region,Time,1,,,,
Product Family Planned Sales by Region,Time,1,,,,
Product Family Margin by Region,Time,1,,,,
Product Family Planned Margin by Region,Time,1,,,,
Product Family Discounts by Region,Time,1,,,,
Product Family Planned Discounts by Region,Time,1,,,,
Sales Per Year to End Customer,Time,1,,,,
Job Title of Respondant,Time,1,,,,
Region of Respondant,Time,1,,,,
Company Size of Respondant,Time,1,,,,
Aesthetic/Importance to Company of Respondant,Time,1,,,,
Degree to Which Technology is Having an Impact on Respondant's Company,Time,1,,,,
Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Time,1,,,,
Top Drivers of Change for Workplace Portfolio at Respondant's Company,Time,1,,,,
Percent of Workplace Reconfigured Annually at Respondant's Company,Time,1,,,,
Where Respondant Obtains Workplace Ideas,Time,1,,,,
Most Important Things in Creating Workplaces Three Years From Now,Time,1,,,,
Tools Company Offers to Let Teams Collaborate Virtually,Time,1,,,,
Projected Year 4 Sales for Product in Development,Time,1,,,,
Level of Innovation for Product in Development,Time,1,,,,
Anticipated Buzz Level of Product in Development,Time,1,,,,
Number of Engineers Assigned to Each Product,Time,1,,,,
Status of Each Task in Development Project,Time,1,,,,
Core Issues and Resolutions for Each Product,Time,1,,,,
Revenue Plan by Product,Time,1,,,,
Lessons Learned in Development Process,Time,1,,,,
Project Status - Next Gate for Project,Time,1,,,,
Projected Budget for Month by Project,Time,1,,,,
Actual Budget for Month by Project,Time,1,,,,
Date of Next Milestone for Project,Time,1,,,,
Projected 5 Year MVA Cumulative,Time,1,,,,
Development Expense by Project,Time,1,,,,
Market Launch Expense,Time,1,,,,
12 Month Sales Forecast,Time,1,,,,
Product Development Status,Time,1,,,,
Market Launch Status,Time,1,,,,
Project Financial Status,Time,1,,,,
Project Operations Status,Time,1,,,,
Project Market Opportunity,Time,1,,,,
Projected Annual Net Sales,Time,1,,,,
Projected Gross Margin,Time,1,,,,
Projected EVA,Time,1,,,,
Projected 5 Year MVA Cumulative,Time,1,,,,
Projected Year 1 Sales,Time,1,,,,
Projected 5 Year Sales,Time,1,,,,
Projected Total Investment,Time,1,,,,
Projected Gross Margin,Time,1,,,,
Projected 5 Year Operating Income,Time,1,,,,
Projected 5 Year MVA Cumulative,Time,1,,,,
Total Sales by Data or Order,Time,1,,,,
List of Products that Belong in Each Configuration,Time,1,,,,
Pricing of Products in Each Configuration,Time,1,,,,
Anticipated Launch Date for Product in Development,Time,1,,,,
Status in HDP of Product,Time,1,,,,
Projected Living Office Readiness,Time,1,,,,
Dealer Living Office Readiness,Time,1,,,,
% Respondents Able to Complete Tasks Online,Time,1,,,,
Website User Satisfaction,Time,1,,,,
Website Uptime,Time,1,,,,
Sales Quantity by Month by Manufacturing Cell,Time,1,,,,
Potential Sales for Projected Per Customer,Time,1,,,,
