Name,Location (System),Frequency Updated,Frequency Used,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,People,Product,Place,Image Key
Number of Engineers Assigned to Each Product,Whiteboard,Weekly,Daily,Design/Development,Product Management,,,Product,Time,Employee,,,1,,4
Status of Each Task in Development Project,Whiteboard,Weekly,Daily,Design/Development,Product Management,,,Product,Time,Employee,,,1,,4
Core Issues and Resolutions for Each Product,Whiteboard,Weekly,Daily,Design/Development,Product Management,,,Product,Time,Employee,,,1,,4
Revenue Plan by Product,Document,Weekly,Daily,Design/Development,Product Management,,,Product,Time,Product Type,Product Line,,1,,4
Total Number of Online Sales,Razorfish Deck,Once,Once,Marketing,,,,Customer,Customer Segment,Region,Product,,1,,5
Performance Environments - Chair Occupancy,Spreadsheet,Once,Once,Performance Environments,,,,Time,Customer,Product Type,Product,,1,,6
Product Adjacencies - Seating Idea Starters by Living Office Setting,OneStop,,,Marketing,Sales,,,Customer,Product,,,,1,,7
Growth by MSA Region by Year,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Region,Time,Product,,1,,8
Shipment Growth by MSA Region by Year,MSA Dashboard,Monthly,Monthly,Sales,,,,Product,Region,Time,Category,,1,,8
CAD Drawings,PDMLink,Once,Daily,Design/Development,Sales,Product Management,Marketing,Product,,,,,1,,9
Lessons Learned in Development Process,Office 365,Once,Once,Design/Development,Product Management,,,Product,Time,,,,1,,10
Customer Opportunity Products,Salesforce,Daily,Unknown,Sales,,,,Customer,Product,,,1,1,,11
Projected Total Investment Required for Project,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Time,Product,,,,1,,12
Projected Gross Margin for Project,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Time,Product,,,,1,,12
Projected 10 Year MVA for Project,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Time,Product,,,,1,,12
Projected Total Sales Impact (5 Year Cumulative) for Project,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Time,Product,,,,1,,12
Project Problem Statement,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Time,Product,Customer,,,1,,12
Customer Needs met by Project,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,Customer,,,,1,,12
Strategic Needs Satisfied by Project,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,12
Project Positioning Statement,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,12
Project Key Market Based Product Criteria,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,Customer,Region,Customer Segment,,1,,12
Project Points of Differentiation,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,12
Project Vocabulary,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,12
Project Competitive Assessment,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,12
Project Competitive Cost Comparisons,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,12
Project Cost Target,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,12
Project Cost Estimate,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,12
Project Design Challenges,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,Employee,,,,1,,12
Project ID,Accolade,Weekly,Weekly,Research,Design/Development,Product Management,,Product,,,,,1,,13
Project Status - Project in Trouble,Accolade,Weekly,Weekly,Research,Design/Development,Product Management,,Product,Employee,Time,,,1,,13
Project Status - Project Stage,Accolade,Weekly,Weekly,Research,Design/Development,Product Management,,Product,Employee,Time,,,1,,13
Project Status - Next Gate for Project,Accolade,Weekly,Weekly,Research,Design/Development,Product Management,,Product,Time,,,,1,,13
Projected Budget for Month by Project,Launch Review Group Report,Monthly,Monthly,Research,Design/Development,Product Management,,Product,Time,,,,1,,14
Actual Budget for Month by Project,Launch Review Group Report,Monthly,Monthly,Research,Design/Development,Product Management,,Product,Time,,,,1,,14
Date of Next Milestone for Project,Launch Review Group Report,Monthly,Monthly,Research,Design/Development,Product Management,,Product,Time,,,,1,,14
Projected 5 Year MVA Cumulative ,Launch Review Group Report,Monthly,Monthly,Research,Design/Development,Product Management,,Product,Time,,,,1,,14
Total Investment Needed by Project,Launch Review Group Report,Monthly,Monthly,Research,Design/Development,Product Management,,Product,,,,,1,,14
Development Expense by Project,Launch Review Group Report,Monthly,Monthly,Research,Design/Development,Product Management,,Product,Time,,,,1,,14
Market Launch Expense,Launch Review Group Report,Monthly,Monthly,Marketing,Design/Development,Product Management,,Product,Time,,,,1,,14
Target Product Cost,Launch Review Group Report,Monthly,Monthly,,Design/Development,Product Management,,Product,,,,,1,,14
Start Order Entry,Launch Review Group Report,Monthly,Monthly,Marketing,Design/Development,Product Management,Sales,Product,,,,,1,,14
12 Month Sales Forecast,Launch Review Group Report,Monthly,Monthly,Marketing,Design/Development,Product Management,Sales,Product,Time,,,,1,,14
Product Development Status,Launch Review Group Report,Monthly,Monthly,,Design/Development,Product Management,,Product,Time,,,,1,,14
Market Launch Status,Launch Review Group Report,Monthly,Monthly,Marketing,Design/Development,Product Management,Sales,Product,Time,,,,1,,14
Project Financial Status,Launch Review Group Report,Monthly,Monthly,Research,Design/Development,Product Management,,Product,Time,,,,1,,14
Project Operations Status,Launch Review Group Report,Monthly,Monthly,Research,Design/Development,Product Management,,Product,Time,,,,1,,14
Project Market Opportunity,Business Plan Document,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,15
Project Value Proposition,Business Plan Document,Once,Once,Marketing,Design/Development,Product Management,Sales,Product,,,,,1,,15
Projected Annual Net Sales,Business Plan Document,Once,Once,Marketing,Design/Development,Product Management,Sales,Product,Time,,,,1,,15
Projected Gross Margin,Business Plan Document,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,15
Projected EVA,Business Plan Document,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,15
Projected 5 Year MVA Cumulative ,Business Plan Document,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,15
Recommended Capital Investment by Project,Business Plan Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,15
Recommended Expense Investment by Project,Business Plan Document,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,15
Projected Year 1 Sales,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,16
Projected 5 Year Sales,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,16
Projected Total Investment,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,16
Projected Gross Margin,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,16
Projected 5 Year Operating Income,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,16
Projected 5 Year MVA Cumulative ,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,Time,,,,1,,16
Narrative of Project Design Principles,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,16
Narrative of Product Concept,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,16
Market Opportunity Analysis,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,Customer,Customer Segment,Region,,1,,16
Market Criteria,Development Plan,Once,Once,Marketing,Design/Development,Product Management,Sales,Product,Customer,,,,1,,16
Market Launch Plan (which Showrooms),Development Plan,Once,Once,Marketing,Design/Development,Product Management,Sales,Product,Customer,Customer Segment,Region,,1,,16
Resource Plan - Full Time Engineers Required,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,16
Narrative of Project Design/ Engineering Risks,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,16
Narrative of Project Marketing Risks,Development Plan,Once,Once,Marketing,Design/Development,Product Management,,Product,,,,,1,,16
Narrative of Project Operations Risk,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,16
Narrative of Project Financial Risks,Development Plan,Once,Once,Research,Design/Development,Product Management,,Product,,,,,1,,16
Total Sales by Product SKU ,,,,Sales,,,,Product,,,,,1,,
Total Sales by Data or Order,,,,Sales,,,,Product,Time,,,,1,,
Customization Requests by Product Category,Document,Monthly,Monthly,,,,,Product,Product Line,Customer,,1,1,,
Part Number,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Part Supplier,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Narrative of Test Results / Observations,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Narrative of Summary of Test Results,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Tools Used for Test,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Project Number,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Project Name,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Employee Creating Request,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Employee Approving Request,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Purpose of Test,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Test Request Number,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Test Status,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
BaaN Project Number,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Baan Department,Lotus Notes,Daily,Daily,,,,,Product,,,,,1,,17
Project Number,Baan,Daily,Daily,,,,,Product,,,,,1,,17
Project Department,Baan,Daily,Daily,,,,,Product,,,,,1,,17
Test Classification,Test Request System,Daily,Daily,,,,,Product,,,,,1,,17
List of Products that Belong in Each Configuration,CSP System,Once,With Order,Design/Development,,,,Product,Time,,,,1,,18
Pricing of Products in Each Configuration,CSP System,Once,With Order,Design/Development,,,,Product,Time,,,,1,,18
Paid Search Criteria â€“ Google Ad Words,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product,Product Type,Product Line,1,,,1
HermanMiller.com Page Views,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product Family,,,1,,,1
HermanMiller.com Page Views,Google Analytics,Monthly,Monthly,Marketing,,,,Time,Product Family,,,1,,,1
Device Used to Access HermanMiller.com,Google Analytics,Daily,Monthly,Marketing,,,,Time,,,,1,,,1
% New Users Accessing HermanMiller.com,Google Analytics,Daily,Monthly,Marketing,,,,Time,,,,1,,,1
Page accessed first after HermanMiller.com home page,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product,Product Type,Product Line,,1,,1
Number of iPad App Portal Downloads,Google Analytics,Daily,Monthly,Marketing,,,,Time,,,,1,,,1
Anticipated Launch Date for Product in Development,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,Time,Product Type,Product Line,,1,,1
Status in HDP of Product ,Whiteboard,Weekly,Daily,Design/Development,Product Management,,,Product,Time,Product Type,Product Line,,1,,4
Projected Living Office Readiness,Map,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,Time,Product Type,Product Line,,1,,19
Dealer Living Office Readiness,Map,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,Time,Product Type,Product Line,,1,,19
% Respondents Able to Complete Tasks Online,Document,Once,Once,Marketing,,,,Product,Time,,,1,,,20
Website User Satisfaction,Document,Once,Once,Marketing,,,,Product,Time,Customer Segment,Region,1,,,20
Website Uptime,Document,Once,Once,Marketing,,,,Product,Time,,,1,,,20
Customer Personas,Document,Once,Once,Marketing,,,,Customer,Customer Segment,Region,,1,,,21
Brand Awareness by Consumer Segments,Razorfish Deck,Once,Once,Marketing,,,,Customer,Customer Segment,Region,Product,1,,,5
Brand Sentiment by Consumer Segments,Razorfish Deck,Once,Once,Marketing,,,,Customer,Customer Segment,Region,Product,1,,,5
Online Generated Leads,Razorfish Deck,Once,Once,Marketing,,,,Product,Customer Segment,Product Family,Product Category,1,,,5
Self Service Usage,Razorfish Deck,Once,Once,Marketing,,,,Customer,Product  ,Time,,1,,,5
Total Number of Online Accounts,Razorfish Deck,Once,Once,Marketing,,,,Customer,Region,Time,Product ,1,,,5
Performance Environments - Room Occupancy,Spreadsheet,Once,Once,Performance Environments,,,,Time,Customer,Product Type,Product,1,,,22
List of Top Customers by MSA Region,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Region,,,,1,,8
Sales Quantity by Month by Manufacturing Cell,MSA Dashboard,Monthly,Monthly,Sales,,,,Product,Time,,,,1,,8
Top Potential Customers by MSA Region ,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Region,,,,1,,8
Market Size by MSA Region by Year,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Region,Time,,,1,,8
Potential Sales by MSA Region by Year,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Region,Time,Product,,1,,8
Shipments by MSA Region by Year,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Region,Time,Product,,1,,8
Target Sales by MSA Region by Year,MSA Dashboard,Monthly,Monthly,Sales,,,,Product,Region,Time,Category,,1,,8
Target Sales by MSA Region by Segment by Year,MSA Dashboard,Monthly,Monthly,Sales,,,,Product,Region,Time,Category,,1,,8
Number of Employees at each Customer,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Employee,,,,1,,8
Ranking of Each Customer Nationally,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Employee,Region,Customer Segment,,1,,8
Potential Sales for Projected Per Customer,MSA Dashboard,Monthly,Monthly,Sales,,,,Customer,Time,Region,,,1,,8
Product Margin of Dealer Compared to Average Dealer by MSA Region,MSA Dashboard,Monthly,Monthly,Sales,,,,Dealer,Time,Product,,,1,,8
Dealer Discounting compared to average dealer discounting by MSA Region,MSA Dashboard,Monthly,Monthly,Sales,,,,Dealer,Product,,,,1,,8
Sales vs Plan by MSA Region,MSA Dashboard,Monthly,Monthly,Sales,,,,Time,Region,Product,,,1,,8
Requested Screen Resolution,Creston/Fusion Server,Daily,Not Utilized,IT,,,,Product,,,,1,,1,Null
Room Motion Sensor Activity,Creston/Fusion Server,Daily,Not Utilized,IT,,,,Time,,,,1,,1,Null
Laptop Plugged In to presentation system,Creston/Fusion Server,Daily,Not Utilized,IT,,,,Time,,,,1,,1,Null
Presentation system turned on,Creston/Fusion Server,Daily,Not Utilized,IT,,,,Time,,,,1,,1,Null
Meeting Logs - Rooms,Creston/Fusion Server,Daily,Not Utilized,IT,,,,Time,,,,1,,1,Null
Meeting Logs - People,Creston/Fusion Server,Daily,Not Utilized,IT,,,,Time,Employee,,,1,,1,Null
Meeting Logs - Scheduler,Creston/Fusion Server,Daily,Not Utilized,IT,,,,Time,Employee,,,1,,1,Null
Meeting Logs - Joined by Phone,Creston/Fusion Server,Daily,Not Utilized,IT,,,,Employee,,,,1,,1,Null
Shared Documents,Office 365,Daily,Not Utilized,IT,,,,Employee,,,,1,,1,Null
Email Logs,Office 365,Daily,Not Utilized,IT,,,,Time,Employee,,,1,,1,Null
Documents Shared Externally,Office 365,Daily,Not Utilized,IT,,,,Time,Employee,Customer,,1,,1,Null
Website Satisfaction - HermanMiller.com,Forsee,Daily,Unknown,Marketing,,,,Customer,,,,1,,,23
Customer Name,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Customer ID,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Customer Address,Salesforce,Daily,Unknown,Sales,,,,Customer,Region,,,1,,,11
Customer Annual Revenue,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Customer Number of Employees ,Salesforce,Daily,Unknown,Sales,,,,Customer,Employee,,,1,,,11
Customer Opportunity ID,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Customer Opportunity Name,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Customer Opportunity Description,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Customer Opportunity Value,Salesforce,Daily,Unknown,Sales,,,,Customer,Product,Time,,1,,,11
Years HM has had relaitonship with customer,Salesforce,Daily,Unknown,Sales,,,,Customer,Time,,,1,,,11
Customer Sales Region,Salesforce,Daily,Unknown,Sales,,,,Customer,Customer Segment,Region,,1,,,11
Customer NAICs Code,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Customer Jigsaw company ID,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Customer Duns Company ID,Salesforce,Daily,Unknown,Sales,,,,Customer,,,,1,,,11
Names of Teams Engaged in Project Design Process,Concept Convergence Document,Once,Once,Research,Design/Development,Product Management,,Product,Employee,Time,,1,,,12
Capacity - Total Headcount Needed for Current Project,Accolade,Weekly,Weekly,Research,Design/Development,Product Management,,Employee,Time,,,1,,,13
Capacity - Total Headcount Available,Accolade,Weekly,Weekly,Research,Design/Development,Product Management,,Employee,Time,,,1,,,13
Nielsen Segment Analysis,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic Composition by State by page on site,Document,Once,Once,Marketing,,,,Region,,,,1,,,24
Website Traffic Gender Composition by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic Age Composition by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic by Income by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic by Net Worth by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic by Career Status by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic Top 5 Occupations by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic Length of Residence at Current address by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic Top 5 Auto Make by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Website Traffic Top 4 Psychographies by Page,Document,Once,Once,Marketing,,,,Customer Segment,,,,1,,,24
Count of File Formats for Downloaded Product Brochures ,Google Analytics,Monthly,Monthly,Marketing,,,,Time,,,,1,,,25
Average Product Downloads per User,Google Analytics,Monthly,Monthly,Marketing,,,,Product Line,,,,1,,,25
Pageviews by Setting,Google Analytics,Monthly,Monthly,Marketing,,,,Product Line,,,,1,,,25
Number of Page Views by City,Google Analytics,Monthly,Monthly,Marketing,,,,Time,,,,1,,,25
Number of Users by City,Google Analytics,Monthly,Monthly,Marketing,,,,Time,,,,1,,,25
Work Products by Pricepoint,,Once,,Marketing,,,,Product,Product Family,,,1,,,26
Historic Transactional Information,Sales Warehouse,Daily,,Sales,,,,Product,Dealer,Customer,,1,1,,Null
Historic Sales by Sales Representative,Customer Information Warehouse,Daily,,Sales,,,,Dealer,Customer,Sales Representative,,1,1,,Null
Historic Sales by Dealer,Customer Information Warehouse,Daily,,Sales,,,,Dealer,Customer,,,1,1,,Null
Ranking of Organization Structure,Living Office Sales Analysis,,,Performance Environments,Sales,,,Customer,,,,1,1,1,27
Ranking of Work Processes,Living Office Sales Analysis,,,Performance Environments,Sales,,,Customer,,,,1,1,1,27
Ranking of Work Location,Living Office Sales Analysis,,,Performance Environments,Sales,,,Customer,,,,1,1,1,27
Ranking of Interactions,Living Office Sales Analysis,,,Performance Environments,Sales,,,Customer,,,,1,1,1,27
Ranking of Individual Work,Living Office Sales Analysis,,,Performance Environments,Sales,,,Customer,,,,1,1,1,27
Ranking of Group Work,Living Office Sales Analysis,,,Performance Environments,Sales,,,Customer,,,,1,1,1,27
Price Points for Each Product Line,PDF Document,,,Marketing,,,,Product,,,,,1,1,42
Suitability of Each Product Line to Each Setting,PDF Document,,,Marketing,,,,Product,Product Line,,,,1,1,42
Suitability of Individual Products by Setting,PDF Document,,,Marketing,,,,Product,,,,,1,1,42
Pricing for Product Line by Setting by Size,PDF Document,,,Marketing,,,,Product Line,,,,,1,1,42
Gross Margin for Product Line by Setting by Size,PDF Document,,,Marketing,,,,Product Line,Product,,,,1,1,42
Ranking of Seating Products to Each Work Setting,Living Office Sales Analysis,,,Marketing,Sales,,,Product,Product Type,,,,1,1,27
Square Feet Needed for Designed Configuration,Living Office Discovery Tool,,,Marketing,Sales,,,Product Line,,,,,,1,26
Anticipated Landscape Types by Year to 2020,Living Office Projections,,,Marketing,Sales,,,Product,Product Line,,,,,1,29
Anticipated Setting breakdown by Year to 2020,Living Office Projections,,,Marketing,Sales,,,Product,Product Line,,,,,1,29
Spatial Recipe by Setting,PDF Document,,,Marketing,Sales,,,Product,Product Type,,,,,1,27
Technology Needed For Setting,PDF Document,,,Marketing,Sales,,,Product Line,,,,,,1,28
Dealer Sales Goal Sales,Customer and Sales Database,Monthly,Monthly,Sales,,,,Dealer,Time,,,1,1,,30
Dealer Projected Total Sales,Customer and Sales Database,Monthly,Monthly,Sales,,,,Dealer,Time,,,1,1,,30
Dealer YTD Total Sales,Customer and Sales Database,Monthly,Monthly,Sales,,,,Dealer,time,,,1,1,,30
Budget for Dealer Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Budget for Events Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Budget for General Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Budget for Markating Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Budget for Sales Project,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Spend on Dealer Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Spend on Events Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Spend on General Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Spend on Marketing Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Spend on Sales Projects,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,1,1,,31
Spend on Sales Projects by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,,,1,1,,31
Budget for Sales Projects by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,,,1,1,,31
Sales by Year by Region,Customer and Sales Database,Annually,Annually,Sales,,,,Time,Region,,,1,1,,32
Planned Sales by Year by Region,Customer and Sales Database,Annually,Annually,Sales,,,,Time,Region,,,1,1,,32
Planned Market Share by Year by Region,Customer and Sales Database,Annually,Annually,Sales,,,,Time,Region,,,1,1,,32
Actual Market Share by Year by Region,Customer and Sales Database,Annually,Annually,Sales,,,,Time,Region,,,1,1,,32
Expected Market Share Growth by Year by Region,Customer and Sales Database,Annually,Annually,Sales,,,,Time,Region,,,1,1,,32
Sales by Year by MSA,Customer and Sales Database,Annually,Annually,Sales,,,,Time,MSA,,,1,1,,32
Planned Sales by Year by MSA,Customer and Sales Database,Annually,Annually,Sales,,,,Time,MSA,,,1,1,,32
Planned Market Share by Year by MSA,Customer and Sales Database,Annually,Annually,Sales,,,,Time,MSA,,,1,1,,32
Actual Market Share by Year by MSA,Customer and Sales Database,Annually,Annually,Sales,,,,Time,MSA,,,1,1,,32
Expected Market Share Growth by Year by MSA,Customer and Sales Database,Annually,Annually,Sales,,,,Time,MSA,,,1,1,,32
Customer Satisfaction Survey,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Dealer,,,1,1,,33
Dealer Code - Unique Identiifier,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Dealer,,,,1,,33
