id,source,target,target_type,edge_strength,
231,Budget for Events Projects,Category - Product,1,1,
232,Budget for General Projects,Category - Product,1,1,
233,Budget for Marketing Projects,Category - Product,1,1,
234,Budget for Sales Project,Category - Product,1,1,
235,Spend on Dealer Projects,Category - Product,1,1,
236,Spend on Events Projects,Category - Product,1,1,
237,Spend on General Projects,Category - Product,1,1,
238,Spend on Marketing Projects,Category - Product,1,1,
239,Spend on Sales Projects,Category - Product,1,1,
240,Spend on Sales Projects by Region,Category - Product,1,1,
241,Budget for Sales Projects by Region,Category - Product,1,1,
242,Sales by Year by Region,Category - Product,1,1,
243,Planned Sales by Year by Region,Category - Product,1,1,
244,Planned Market Share by Year by Region,Category - Product,1,1,
245,Actual Market Share by Year by Region,Category - Product,1,1,
246,Expected Market Share Growth by Year by Region,Category - Product,1,1,
247,Sales by Year by MSA,Category - Product,1,1,
248,Planned Sales by Year by MSA,Category - Product,1,1,
249,Planned Market Share by Year by MSA,Category - Product,1,1,
250,Actual Market Share by Year by MSA,Category - Product,1,1,
251,Expected Market Share Growth by Year by MSA,Category - Product,1,1,
252,Customer Satisfaction Survey,Category - Product,1,1,
282,Sales Per Year to End Customer,Category - Product,1,1,
283,Job Title of Respondent,Category - Product,1,1,
284,Region of Respondent,Category - Product,1,1,
285,Company Size of Respondent,Category - Product,1,1,
286,Aesthetic/Importance to Company of Respondent,Category - Product,1,1,
287,Degree to Which Technology is Having an Impact on Respondent's Company,Category - Product,1,1,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondent's Company,Category - Product,1,1,
289,Top Drivers of Change for Workplace Portfolio at Respondent's Company,Category - Product,1,1,
290,Percent of Workplace Reconfigured Annually at Respondent's Company,Category - Product,1,1,
291,Where Respondent Obtains Workplace Ideas,Category - Product,1,1,
292,Most Important Things in Creating Workplaces Three Years From Now,Category - Product,1,1,
293,Tools Company Offers to Let Teams Collaborate Virtually,Category - Product,1,1,
5,HermanMiller.com Page Views by Product,Category - Product,1,1,
6,Number of Views for each Web Asset on HermanMiller.com by Associated Product,Category - Product,1,1,
7,Top Web Assets Downloaded from HermanMiller.com by Category,Category - Product,1,1,
8,Top Brochures Shipped by Product,Category - Product,1,1,
9,Top Brochures Shipped - Workstations,Category - Product,1,1,
10,Top Brochures Shipped - Storage,Category - Product,1,1,
11,Sales - Gross,Category - Product,1,1,
12,Sales - % Change,Category - Product,1,1,
13,Margin - Gross,Category - Product,1,1,
14,Margin - % Change,Category - Product,1,1,
15,Direct Opex - Gross,Category - Product,1,1,
16,Direct Opex - % Change,Category - Product,1,1,
17,Direct Op Income - Gross,Category - Product,1,1,
18,Direct Op Income - % Change,Category - Product,1,1,
19,Spend on Warranty - Gross,Category - Product,1,1,
20,Spend on Warranty - % Change,Category - Product,1,1,
21,Royalty - Gross,Category - Product,1,1,
22,Royalty - % Change,Category - Product,1,1,
23,Direct Op Income - Gross,Category - Product,1,1,
24,Direct Op Income - % Change,Category - Product,1,1,
25,Strategic Objective - Intuitive Adaptation,Category - Product,1,1,
26,Strategic Objective - Ultimate Settings,Category - Product,1,1,
27,Strategic Objective - Exceptional Accessories,Category - Product,1,1,
28,Strategic Objective - Living Office Workplace Expertise,Category - Product,1,1,
29,Projected Year 4 Sales for Product in Development,Category - Product,1,1,
30,Level of Innovation for Product in Development,Category - Product,1,1,
31,Anticipated Buzz Level of Product in Development,Category - Product,1,1,
32,Name of Product in Development,Category - Product,1,1,
33,Number of Engineers Assigned to Each Product,Category - Product,1,1,
34,Status of Each Task in Development Project,Category - Product,1,1,
35,Core Issues and Resolutions for Each Product,Category - Product,1,1,
36,Revenue Plan by Product,Category - Product,1,1,
37,Total Number of Online Sales,Category - Product,1,1,
38,Performance Environments - Chair Occupancy,Category - Product,1,1,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Category - Product,1,1,
40,Growth by MSA Region by Year,Category - Product,1,1,
41,Shipment Growth by MSA Region by Year,Category - Product,1,1,
42,CAD Drawings,Category - Product,1,1,
43,Lessons Learned in Development Process,Category - Product,1,1,
45,Projected Total Investment Required for Project,Category - Product,1,1,
46,Projected Gross Margin for Project,Category - Product,1,1,
47,Projected 10 Year MVA for Project,Category - Product,1,1,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Category - Product,1,1,
49,Project Problem Statement,Category - Product,1,1,
50,Customer Needs met by Project,Category - Product,1,1,
51,Strategic Needs Satisfied by Project,Category - Product,1,1,
52,Project Positioning Statement,Category - Product,1,1,
53,Project Key Market Based Product Criteria,Category - Product,1,1,
54,Project Points of Differentiation,Category - Product,1,1,
55,Project Vocabulary,Category - Product,1,1,
56,Project Competitive Assessment,Category - Product,1,1,
57,Project Competitive Cost Comparisons,Category - Product,1,1,
58,Project Cost Target,Category - Product,1,1,
59,Project Cost Estimate,Category - Product,1,1,
60,Project Design Challenges,Category - Product,1,1,
61,Project ID,Category - Product,1,1,
62,Project Status - Project in Trouble,Category - Product,1,1,
63,Project Status - Project Stage,Category - Product,1,1,
64,Project Status - Next Gate for Project,Category - Product,1,1,
65,Projected Budget for Month by Project,Category - Product,1,1,
66,Actual Budget for Month by Project,Category - Product,1,1,
67,Date of Next Milestone for Project,Category - Product,1,1,
68,Projected 5 Year MVA Cumulative,Category - Product,1,1,
69,Total Investment Needed by Project,Category - Product,1,1,
70,Development Expense by Project,Category - Product,1,1,
71,Market Launch Expense,Category - Product,1,1,
72,Target Product Cost,Category - Product,1,1,
73,Start Order Entry,Category - Product,1,1,
74,12 Month Sales Forecast,Category - Product,1,1,
75,Product Development Status,Category - Product,1,1,
76,Market Launch Status,Category - Product,1,1,
77,Project Financial Status,Category - Product,1,1,
78,Project Operations Status,Category - Product,1,1,
79,Project Market Opportunity,Category - Product,1,1,
80,Project Value Proposition,Category - Product,1,1,
81,Projected Annual Net Sales,Category - Product,1,1,
82,Projected Gross Margin,Category - Product,1,1,
83,Projected EVA,Category - Product,1,1,
84,Projected 5 Year MVA Cumulative,Category - Product,1,1,
85,Recommended Capital Investment by Project,Category - Product,1,1,
86,Recommended Expense Investment by Project,Category - Product,1,1,
87,Projected Year 1 Sales,Category - Product,1,1,
88,Projected 5 Year Sales,Category - Product,1,1,
89,Projected Total Investment,Category - Product,1,1,
90,Projected Gross Margin,Category - Product,1,1,
91,Projected 5 Year Operating Income,Category - Product,1,1,
92,Projected 5 Year MVA Cumulative,Category - Product,1,1,
93,Narrative of Project Design Principles,Category - Product,1,1,
94,Narrative of Product Concept,Category - Product,1,1,
95,Market Opportunity Analysis,Category - Product,1,1,
96,Market Criteria,Category - Product,1,1,
97,Market Launch Plan (which Showrooms),Category - Product,1,1,
98,Resource Plan - Full Time Engineers Required,Category - Product,1,1,
99,Narrative of Project Design/ Engineering Risks,Category - Product,1,1,
100,Narrative of Project Marketing Risks,Category - Product,1,1,
101,Narrative of Project Operations Risk,Category - Product,1,1,
102,Narrative of Project Financial Risks,Category - Product,1,1,
103,Total Sales by Product SKU,Category - Product,1,1,
104,Total Sales by Data or Order,Category - Product,1,1,
106,Part Number,Category - Product,1,1,
107,Part Supplier,Category - Product,1,1,
108,Narrative of Test Results / Observations,Category - Product,1,1,
109,Narrative of Summary of Test Results,Category - Product,1,1,
110,Tools Used for Test,Category - Product,1,1,
111,Project Number,Category - Product,1,1,
112,Project Name,Category - Product,1,1,
113,Employee Creating Request,Category - Product,1,1,
114,Employee Approving Request,Category - Product,1,1,
115,Purpose of Test,Category - Product,1,1,
116,Test Request Number,Category - Product,1,1,
117,Test Status,Category - Product,1,1,
118,BaaN Project Number,Category - Product,1,1,
119,Baan Department,Category - Product,1,1,
120,Project Number,Category - Product,1,1,
121,Project Department,Category - Product,1,1,
122,Test Classification,Category - Product,1,1,
123,List of Products that Belong in Each Configuration,Category - Product,1,1,
124,Pricing of Products in Each Configuration,Category - Product,1,1,
130,Page accessed first after HermanMiller.com home page,Category - Product,1,1,
132,Anticipated Launch Date for Product in Development,Category - Product,1,1,
133,Status in HDP of Product,Category - Product,1,1,
134,Projected Living Office Readiness,Category - Product,1,1,
135,Dealer Living Office Readiness,Category - Product,1,1,
146,List of Top Customers by MSA Region,Category - Product,1,1,
147,Sales Quantity by Month by Manufacturing Cell,Category - Product,1,1,
148,Top Potential Customers by MSA Region,Category - Product,1,1,
149,Market Size by MSA Region by Year,Category - Product,1,1,
150,Potential Sales by MSA Region by Year,Category - Product,1,1,
151,Shipments by MSA Region by Year,Category - Product,1,1,
152,Target Sales by MSA Region by Year,Category - Product,1,1,
153,Target Sales by MSA Region by Segment by Year,Category - Product,1,1,
154,Number of Employees at each Customer,Category - Product,1,1,
155,Ranking of Each Customer Nationally,Category - Product,1,1,
156,Potential Sales for Projected Per Customer,Category - Product,1,1,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Category - Product,1,1,
158,Dealer Discounting compared to average dealer discounting by MSA Region,Category - Product,1,1,
159,Sales vs. Plan by MSA Region,Category - Product,1,1,
216,Price Points for Each Product Line,Category - Product,1,1,
217,Suitability of Each Product Line to Each Setting,Category - Product,1,1,
218,Suitability of Individual Products by Setting,Category - Product,1,1,
219,Pricing for Product Line by Setting by Size,Category - Product,1,1,
220,Gross Margin for Product Line by Setting by Size,Category - Product,1,1,
221,Ranking of Seating Products to Each Work Setting,Category - Product,1,1,
253,Dealer Code - Unique Identifier,Category - Product,1,1,
254,MSA Code - Unique Identifier,Category - Product,1,1,
255,Region Code - Unique Identifier,Category - Product,1,1,
256,Dealer Sales Volume,Category - Product,1,1,
257,Dealer Potential Sales Volume,Category - Product,1,1,
258,Dealer Sales Goal,Category - Product,1,1,
259,Individual Assigned to MSA,Category - Product,1,1,
260,Number of Dealers by MSA,Category - Product,1,1,
261,Number of Dealers by Region,Category - Product,1,1,
262,Forecast Sales by Region,Category - Product,1,1,
263,Actual Sales by Region,Category - Product,1,1,
264,Forecast Volume by Region,Category - Product,1,1,
265,Actual Volume by Region,Category - Product,1,1,
266,Projected Size of Anticipated Customer Wins,Category - Product,1,1,
267,Notable Customer Wins,Category - Product,1,1,
268,Notable Customer Losses,Category - Product,1,1,
269,Global Accounts Sales Target,Category - Product,1,1,
270,Global Accounts Actual Sales,Category - Product,1,1,
271,Current Non-Dealer Opportunity - Owner Name,Category - Product,1,1,
272,Current Non-Dealer Opportunity - Customer Name,Category - Product,1,1,
273,Current Non-Dealer Opportunity - Region,Category - Product,1,1,
274,Current Non-Dealer Opportunity - Stage,Category - Product,1,1,
275,Current Non-Dealer Opportunity - Win Probability,Category - Product,1,1,
276,Product Family Sales by Region,Category - Product,1,1,
277,Product Family Planned Sales by Region,Category - Product,1,1,
278,Product Family Margin by Region,Category - Product,1,1,
279,Product Family Planned Margin by Region,Category - Product,1,1,
280,Product Family Discounts by Region,Category - Product,1,1,
281,Product Family Planned Discounts by Region,Category - Product,1,1,
210,Ranking of Organization Structure,Category - Place,1,1,
211,Ranking of Work Processes,Category - Place,1,1,
212,Ranking of Work Location,Category - Place,1,1,
213,Ranking of Interactions,Category - Place,1,1,
214,Ranking of Individual Work,Category - Place,1,1,
215,Ranking of Group Work,Category - Place,1,1,
216,Price Points for Each Product Line,Category - Place,1,1,
217,Suitability of Each Product Line to Each Setting,Category - Place,1,1,
218,Suitability of Individual Products by Setting,Category - Place,1,1,
219,Pricing for Product Line by Setting by Size,Category - Place,1,1,
220,Gross Margin for Product Line by Setting by Size,Category - Place,1,1,
221,Ranking of Seating Products to Each Work Setting,Category - Place,1,1,
1,Records of Meetings Attended,Category - Place,1,1,
2,Records of Emails Sent (Sender and Recipients),Category - Place,1,1,
3,Records of Documents Shared (Author and Recipients),Category - Place,1,1,
160,Requested Screen Resolution,Category - Place,1,1,
161,Room Motion Sensor Activity,Category - Place,1,1,
162,Laptop Plugged In to presentation system,Category - Place,1,1,
163,Presentation system turned on,Category - Place,1,1,
164,Meeting Logs - Rooms,Category - Place,1,1,
165,Meeting Logs - People,Category - Place,1,1,
166,Meeting Logs - Scheduler,Category - Place,1,1,
167,Meeting Logs - Joined by Phone,Category - Place,1,1,
168,Shared Documents,Category - Place,1,1,
169,Email Logs,Category - Place,1,1,
170,Documents Shared Externally,Category - Place,1,1,
222,Square Feet Needed for Designed Configuration,Category - Place,1,1,
223,Anticipated Landscape Types by Year to 2020,Category - Place,1,1,
224,Anticipated Setting breakdown by Year to 2020,Category - Place,1,1,
225,Spatial Recipe by Setting,Category - Place,1,1,
226,Technology Needed For Setting,Category - Place,1,1,
44,Customer Opportunity Products,Department - Sales,2,1,
207,Historic Transactional Information,Department - Sales,2,1,
208,Historic Sales by Sales Representative,Department - Sales,2,1,
209,Historic Sales by Dealer,Department - Sales,2,1,
227,Dealer Sales Goal Sales,Department - Sales,2,1,
228,Dealer Projected Total Sales,Department - Sales,2,1,
229,Dealer YTD Total Sales,Department - Sales,2,1,
230,Budget for Dealer Projects,Department - Sales,2,1,
231,Budget for Events Projects,Department - Sales,2,1,
232,Budget for General Projects,Department - Sales,2,1,
233,Budget for Marketing Projects,Department - Sales,2,1,
234,Budget for Sales Project,Department - Sales,2,1,
235,Spend on Dealer Projects,Department - Sales,2,1,
236,Spend on Events Projects,Department - Sales,2,1,
237,Spend on General Projects,Department - Sales,2,1,
238,Spend on Marketing Projects,Department - Sales,2,1,
239,Spend on Sales Projects,Department - Sales,2,1,
240,Spend on Sales Projects by Region,Department - Sales,2,1,
241,Budget for Sales Projects by Region,Department - Sales,2,1,
242,Sales by Year by Region,Department - Sales,2,1,
243,Planned Sales by Year by Region,Department - Sales,2,1,
244,Planned Market Share by Year by Region,Department - Sales,2,1,
245,Actual Market Share by Year by Region,Department - Sales,2,1,
246,Expected Market Share Growth by Year by Region,Department - Sales,2,1,
247,Sales by Year by MSA,Department - Sales,2,1,
248,Planned Sales by Year by MSA,Department - Sales,2,1,
249,Planned Market Share by Year by MSA,Department - Sales,2,1,
250,Actual Market Share by Year by MSA,Department - Sales,2,1,
251,Expected Market Share Growth by Year by MSA,Department - Sales,2,1,
252,Customer Satisfaction Survey,Department - Sales,2,1,
282,Sales Per Year to End Customer,Department - Sales,2,1,
40,Growth by MSA Region by Year,Department - Sales,2,1,
41,Shipment Growth by MSA Region by Year,Department - Sales,2,1,
103,Total Sales by Product SKU,Department - Sales,2,1,
104,Total Sales by Data or Order,Department - Sales,2,1,
146,List of Top Customers by MSA Region,Department - Sales,2,1,
147,Sales Quantity by Month by Manufacturing Cell,Department - Sales,2,1,
148,Top Potential Customers by MSA Region,Department - Sales,2,1,
149,Market Size by MSA Region by Year,Department - Sales,2,1,
150,Potential Sales by MSA Region by Year,Department - Sales,2,1,
151,Shipments by MSA Region by Year,Department - Sales,2,1,
152,Target Sales by MSA Region by Year,Department - Sales,2,1,
153,Target Sales by MSA Region by Segment by Year,Department - Sales,2,1,
154,Number of Employees at each Customer,Department - Sales,2,1,
155,Ranking of Each Customer Nationally,Department - Sales,2,1,
156,Potential Sales for Projected Per Customer,Department - Sales,2,1,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Department - Sales,2,1,
158,Dealer Discounting compared to average dealer discounting by MSA Region,Department - Sales,2,1,
159,Sales vs. Plan by MSA Region,Department - Sales,2,1,
253,Dealer Code - Unique Identifier,Department - Sales,2,1,
254,MSA Code - Unique Identifier,Department - Sales,2,1,
255,Region Code - Unique Identifier,Department - Sales,2,1,
256,Dealer Sales Volume,Department - Sales,2,1,
257,Dealer Potential Sales Volume,Department - Sales,2,1,
258,Dealer Sales Goal,Department - Sales,2,1,
259,Individual Assigned to MSA,Department - Sales,2,1,
260,Number of Dealers by MSA,Department - Sales,2,1,
261,Number of Dealers by Region,Department - Sales,2,1,
262,Forecast Sales by Region,Department - Sales,2,1,
263,Actual Sales by Region,Department - Sales,2,1,
264,Forecast Volume by Region,Department - Sales,2,1,
265,Actual Volume by Region,Department - Sales,2,1,
266,Projected Size of Anticipated Customer Wins,Department - Sales,2,1,
267,Notable Customer Wins,Department - Sales,2,1,
268,Notable Customer Losses,Department - Sales,2,1,
269,Global Accounts Sales Target,Department - Sales,2,1,
270,Global Accounts Actual Sales,Department - Sales,2,1,
271,Current Non-Dealer Opportunity - Owner Name,Department - Sales,2,1,
272,Current Non-Dealer Opportunity - Customer Name,Department - Sales,2,1,
273,Current Non-Dealer Opportunity - Region,Department - Sales,2,1,
274,Current Non-Dealer Opportunity - Stage,Department - Sales,2,1,
275,Current Non-Dealer Opportunity - Win Probability,Department - Sales,2,1,
276,Product Family Sales by Region,Department - Sales,2,1,
277,Product Family Planned Sales by Region,Department - Sales,2,1,
278,Product Family Margin by Region,Department - Sales,2,1,
279,Product Family Planned Margin by Region,Department - Sales,2,1,
280,Product Family Discounts by Region,Department - Sales,2,1,
281,Product Family Planned Discounts by Region,Department - Sales,2,1,
172,Customer Name,Department - Sales,2,1,
173,Customer ID,Department - Sales,2,1,
174,Customer Address,Department - Sales,2,1,
175,Customer Annual Revenue,Department - Sales,2,1,
176,Customer Number of Employees,Department - Sales,2,1,
177,Customer Opportunity ID,Department - Sales,2,1,
178,Customer Opportunity Name,Department - Sales,2,1,
179,Customer Opportunity Description,Department - Sales,2,1,
180,Customer Opportunity Value,Department - Sales,2,1,
181,Years HM has had relationship with customer,Department - Sales,2,1,
182,Customer Sales Region,Department - Sales,2,1,
183,Customer NAICs Code,Department - Sales,2,1,
184,Customer Jigsaw company ID,Department - Sales,2,1,
185,Customer Duns Company ID,Department - Sales,2,1,
283,Job Title of Respondent,Department - Research,2,1,
284,Region of Respondent,Department - Research,2,1,
285,Company Size of Respondent,Department - Research,2,1,
286,Aesthetic/Importance to Company of Respondent,Department - Research,2,1,
287,Degree to Which Technology is Having an Impact on Respondent's Company,Department - Research,2,1,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondent's Company,Department - Research,2,1,
289,Top Drivers of Change for Workplace Portfolio at Respondent's Company,Department - Research,2,1,
290,Percent of Workplace Reconfigured Annually at Respondent's Company,Department - Research,2,1,
291,Where Respondent Obtains Workplace Ideas,Department - Research,2,1,
292,Most Important Things in Creating Workplaces Three Years From Now,Department - Research,2,1,
293,Tools Company Offers to Let Teams Collaborate Virtually,Department - Research,2,1,
45,Projected Total Investment Required for Project,Department - Research,2,1,
46,Projected Gross Margin for Project,Department - Research,2,1,
47,Projected 10 Year MVA for Project,Department - Research,2,1,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Department - Research,2,1,
49,Project Problem Statement,Department - Research,2,1,
50,Customer Needs met by Project,Department - Research,2,1,
51,Strategic Needs Satisfied by Project,Department - Research,2,1,
52,Project Positioning Statement,Department - Research,2,1,
53,Project Key Market Based Product Criteria,Department - Research,2,1,
54,Project Points of Differentiation,Department - Research,2,1,
55,Project Vocabulary,Department - Research,2,1,
56,Project Competitive Assessment,Department - Research,2,1,
57,Project Competitive Cost Comparisons,Department - Research,2,1,
58,Project Cost Target,Department - Research,2,1,
59,Project Cost Estimate,Department - Research,2,1,
60,Project Design Challenges,Department - Research,2,1,
61,Project ID,Department - Research,2,1,
62,Project Status - Project in Trouble,Department - Research,2,1,
63,Project Status - Project Stage,Department - Research,2,1,
64,Project Status - Next Gate for Project,Department - Research,2,1,
65,Projected Budget for Month by Project,Department - Research,2,1,
66,Actual Budget for Month by Project,Department - Research,2,1,
67,Date of Next Milestone for Project,Department - Research,2,1,
68,Projected 5 Year MVA Cumulative,Department - Research,2,1,
69,Total Investment Needed by Project,Department - Research,2,1,
70,Development Expense by Project,Department - Research,2,1,
77,Project Financial Status,Department - Research,2,1,
78,Project Operations Status,Department - Research,2,1,
79,Project Market Opportunity,Department - Research,2,1,
82,Projected Gross Margin,Department - Research,2,1,
83,Projected EVA,Department - Research,2,1,
84,Projected 5 Year MVA Cumulative,Department - Research,2,1,
85,Recommended Capital Investment by Project,Department - Research,2,1,
86,Recommended Expense Investment by Project,Department - Research,2,1,
87,Projected Year 1 Sales,Department - Research,2,1,
88,Projected 5 Year Sales,Department - Research,2,1,
89,Projected Total Investment,Department - Research,2,1,
90,Projected Gross Margin,Department - Research,2,1,
91,Projected 5 Year Operating Income,Department - Research,2,1,
92,Projected 5 Year MVA Cumulative,Department - Research,2,1,
93,Narrative of Project Design Principles,Department - Research,2,1,
94,Narrative of Product Concept,Department - Research,2,1,
95,Market Opportunity Analysis,Department - Research,2,1,
98,Resource Plan - Full Time Engineers Required,Department - Research,2,1,
99,Narrative of Project Design/ Engineering Risks,Department - Research,2,1,
101,Narrative of Project Operations Risk,Department - Research,2,1,
102,Narrative of Project Financial Risks,Department - Research,2,1,
186,Names of Teams Engaged in Project Design Process,Department - Research,2,1,
187,Capacity - Total Headcount Needed for Current Project,Department - Research,2,1,
188,Capacity - Total Headcount Available,Department - Research,2,1,
210,Ranking of Organization Structure,Department - Performance Environments,2,1,
211,Ranking of Work Processes,Department - Performance Environments,2,1,
212,Ranking of Work Location,Department - Performance Environments,2,1,
213,Ranking of Interactions,Department - Performance Environments,2,1,
214,Ranking of Individual Work,Department - Performance Environments,2,1,
215,Ranking of Group Work,Department - Performance Environments,2,1,
38,Performance Environments - Chair Occupancy,Department - Performance Environments,2,1,
